playerId,gameweek,name,minutes-played,team,opponent,goals-scored,assists,yellow-cards,red-cards,bonus,total
472,1,Bony,76,SWA,MUN,0,0,0,0,0,2
474,1,Gomis,14,SWA,MUN,0,0,0,0,0,1
103,1,Lukaku,90,EVE,LEI,0,0,0,0,0,2
152,1,Naismith,90,EVE,LEI,1,0,0,0,3,9
174,1,Jelavic,90,HUL,QPR,0,0,1,0,0,1
52,1,Agbonlahor,90,AVL,STK,0,0,1,0,0,1
53,1,Weimann,81,AVL,STK,1,0,0,0,3,9
440,1,Wickham,90,SUN,WBA,0,0,0,0,0,2
441,1,Fletcher,90,SUN,WBA,0,0,0,0,0,2
444,1,Altidore,10,SUN,WBA,0,0,0,0,0,1
392,1,Adebayor,82,TOT,WHU,0,0,0,0,0,2
393,1,Kane,8,TOT,WHU,0,1,0,0,0,4
127,1,Gayle,6,CRY,ARS,0,0,0,0,0,1
129,1,Chamakh,90,CRY,ARS,0,0,1,0,0,1
536,1,Campbell,84,CRY,ARS,0,0,0,0,0,2
283,1,Hernández,45,MUN,SWA,0,0,0,0,0,1
284,1,Rooney,90,MUN,SWA,1,0,0,0,1,7
195,1,Nugent,90,LEI,EVE,0,0,0,0,0,2
197,1,Wood,13,LEI,EVE,1,0,0,0,0,5
532,1,Ulloa,77,LEI,EVE,1,0,0,0,0,6
335,1,Remy,90,QPR,HUL,0,0,0,0,0,2
336,1,Zamora,13,QPR,HUL,0,0,0,0,0,1
337,1,Austin,90,QPR,HUL,0,0,0,0,0,0
419,1,Crouch,20,STK,AVL,0,0,0,0,0,1
421,1,Diouf,70,STK,AVL,0,0,0,0,0,2
533,1,Bojan,90,STK,AVL,0,0,0,0,0,2
495,1,Anichebe,90,WBA,SUN,0,1,0,0,0,5
496,1,Berahino,90,WBA,SUN,2,0,0,0,3,13
517,1,Vaz Te,67,WHU,TOT,0,0,0,0,0,2
520,1,Cole,80,WHU,TOT,0,0,0,0,0,2
530,1,Valencia,10,WHU,TOT,0,0,0,0,0,1
25,1,Giroud,29,ARS,CRY,0,0,0,0,0,1
26,1,Sanogo,61,ARS,CRY,0,0,0,0,0,2
176,1,Long,17,SOU,LIV,0,0,0,0,0,1
362,1,Pellè,90,SOU,LIV,0,0,0,0,0,2
253,1,Dzeko,82,MCI,NEW,0,1,0,0,0,5
254,1,Agüero,8,MCI,NEW,1,0,0,0,1,6
256,1,Jovetic,72,MCI,NEW,0,0,0,0,0,2
522,1,Costa,90,CHE,BUR,1,0,1,0,1,6
542,1,Drogba,7,CHE,BUR,0,0,0,0,0,1
73,1,Ings,81,BUR,CHE,0,0,0,0,0,2
75,1,Barnes,21,BUR,CHE,0,0,0,0,0,1
76,1,Sordell,9,BUR,CHE,0,0,1,0,0,0
523,1,Jutkiewicz,69,BUR,CHE,0,0,0,0,0,2
227,1,Sturridge,90,LIV,SOU,1,0,0,0,0,6
229,1,Lambert,15,LIV,SOU,0,0,0,0,0,1
317,1,Ayoze,8,NEW,MCI,0,0,0,0,0,1
526,1,Rivière,82,NEW,MCI,0,0,0,0,0,2
317,2,Ayoze,15,NEW,AVL,0,0,0,0,0,1
526,2,Rivière,76,NEW,AVL,0,0,0,0,0,2
195,2,Nugent,90,LEI,CHE,0,0,0,0,0,2
197,2,Wood,7,LEI,CHE,0,0,0,0,0,1
532,2,Ulloa,83,LEI,CHE,0,0,0,0,0,2
517,2,Vaz Te,90,WHU,CRY,0,0,0,0,0,2
520,2,Cole,67,WHU,CRY,1,0,0,0,0,6
521,2,Zárate,82,WHU,CRY,1,0,0,0,1,7
570,2,Sakho,23,WHU,CRY,0,0,0,0,0,1
495,2,Anichebe,51,WBA,SOU,0,0,0,0,0,1
496,2,Berahino,88,WBA,SOU,0,0,0,0,0,2
531,2,Ideye,39,WBA,SOU,0,0,0,0,0,1
73,2,Ings,90,BUR,SWA,0,0,0,0,0,2
75,2,Barnes,9,BUR,SWA,0,0,0,0,0,1
76,2,Sordell,1,BUR,SWA,0,0,0,0,0,1
523,2,Jutkiewicz,81,BUR,SWA,0,0,0,0,0,2
25,2,Giroud,45,ARS,EVE,1,0,0,0,0,5
28,2,Campbell,17,ARS,EVE,0,0,0,0,0,1
52,2,Agbonlahor,90,AVL,NEW,0,0,0,0,0,2
53,2,Weimann,90,AVL,NEW,0,0,1,0,0,1
57,2,Bent,15,AVL,NEW,0,0,0,0,0,1
522,2,Costa,79,CHE,LEI,1,0,0,0,0,6
542,2,Drogba,11,CHE,LEI,0,0,0,0,0,1
126,2,Murray,8,CRY,WHU,0,0,0,0,0,1
127,2,Gayle,21,CRY,WHU,0,0,0,0,0,1
129,2,Chamakh,90,CRY,WHU,1,0,0,0,2,8
536,2,Campbell,69,CRY,WHU,0,0,0,0,0,2
176,2,Long,45,SOU,WBA,0,0,0,0,0,1
362,2,Pellè,90,SOU,WBA,0,0,0,0,0,2
472,2,Bony,63,SWA,BUR,0,0,0,0,0,2
474,2,Gomis,27,SWA,BUR,0,0,0,0,0,1
103,2,Lukaku,75,EVE,ARS,0,1,0,0,0,5
152,2,Naismith,90,EVE,ARS,1,0,0,0,3,9
419,2,Crouch,36,STK,HUL,0,0,0,0,0,1
421,2,Diouf,90,STK,HUL,0,0,1,0,0,1
533,2,Bojan,50,STK,HUL,0,0,1,0,0,0
335,2,Remy,90,QPR,TOT,0,0,0,0,0,2
336,2,Zamora,17,QPR,TOT,0,0,0,0,0,1
