Name,MP ,GS ,A ,CS ,GC ,OG ,PS ,PM ,YC ,RC ,S ,B ,ESP ,BPS ,TP ,Team,Score,Opponent,H/A,GW,Pos,Difficulty rank,Difficulty desc,PID,Own%,Date,KO time,Season start price,Season end price
Fabianski,90,0,0,0,1,0,0,0,0,0,4,0,17,15,3,SWA,2 - 1,MUN,Away,1,GKP,31,Very difficult,448,1.7%,16/08/2014,12:45,5.0,5.3
Williams,90,0,0,0,1,0,0,0,0,0,0,0,13,20,2,SWA,2 - 1,MUN,Away,1,DEF,31,Very difficult,449,3.0%,16/08/2014,12:45,5.0,5.4
Taylor,52,0,0,0,1,0,0,0,1,0,0,0,10,0,0,SWA,2 - 1,MUN,Away,1,DEF,31,Very difficult,450,0.6%,16/08/2014,12:45,4.5,4.8
Rangel,90,0,0,0,1,0,0,0,0,0,0,0,13,16,2,SWA,2 - 1,MUN,Away,1,DEF,31,Very difficult,452,0.6%,16/08/2014,12:45,5.0,4.9
Tiendalli,38,0,0,0,0,0,0,0,0,0,0,0,5,7,1,SWA,2 - 1,MUN,Away,1,DEF,31,Very difficult,456,0.1%,16/08/2014,12:45,4.5,4.3
Amat,90,0,0,0,1,0,0,0,0,0,0,0,17,14,2,SWA,2 - 1,MUN,Away,1,DEF,31,Very difficult,457,0.3%,16/08/2014,12:45,4.5,4.1
Sigurdsson,90,1,1,0,1,0,0,0,0,0,0,3,48,38,13,SWA,2 - 1,MUN,Away,1,MID,31,Very difficult,381,19.5%,16/08/2014,12:45,6.0,6.5
Routledge,90,0,1,0,1,0,0,0,0,0,0,0,20,13,5,SWA,2 - 1,MUN,Away,1,MID,31,Very difficult,460,1.0%,16/08/2014,12:45,5.5,5.4
Dyer,66,0,0,0,1,0,0,0,1,0,0,0,11,4,1,SWA,2 - 1,MUN,Away,1,MID,31,Very difficult,461,0.5%,16/08/2014,12:45,5.5,5.2
Shelvey,90,0,0,0,1,0,0,0,1,0,0,0,13,11,1,SWA,2 - 1,MUN,Away,1,MID,31,Very difficult,465,8.5%,16/08/2014,12:45,5.5,5.2
Ki Sung-Yueng,90,1,0,0,1,0,0,0,1,0,0,2,32,31,8,SWA,2 - 1,MUN,Away,1,MID,31,Very difficult,471,2.7%,16/08/2014,12:45,5.0,5.1
Montero,24,0,0,0,0,0,0,0,0,0,0,0,7,2,1,SWA,2 - 1,MUN,Away,1,MID,31,Very difficult,537,0.3%,16/08/2014,12:45,6.0,5.4
Bony,76,0,0,0,1,0,0,0,0,0,0,0,21,2,2,SWA,2 - 1,MUN,Away,1,FWD,31,Very difficult,472,8.4%,16/08/2014,12:45,8.5,8.1
Gomis,14,0,0,0,0,0,0,0,0,0,0,0,3,1,1,SWA,2 - 1,MUN,Away,1,FWD,31,Very difficult,474,0.9%,16/08/2014,12:45,7.0,6.5
Howard,90,0,0,0,2,0,0,0,0,0,1,0,6,10,1,EVE,2 - 2,LEI,Away,1,GKP,6,Favourable,130,24.4%,16/08/2014,15:00,5.5,5.1
Jagielka,90,0,0,0,2,0,0,0,0,0,0,0,14,18,1,EVE,2 - 2,LEI,Away,1,DEF,6,Favourable,132,11.3%,16/08/2014,15:00,5.5,5.8
Baines,90,0,0,0,2,0,0,0,0,0,0,0,13,20,1,EVE,2 - 2,LEI,Away,1,DEF,6,Favourable,134,19.1%,16/08/2014,15:00,7.0,7.1
Distin,90,0,1,0,2,0,0,0,0,0,0,0,20,24,4,EVE,2 - 2,LEI,Away,1,DEF,6,Favourable,135,4.3%,16/08/2014,15:00,5.5,5.2
Coleman,6,0,0,0,1,0,0,0,0,0,0,0,1,4,1,EVE,2 - 2,LEI,Away,1,DEF,6,Favourable,137,6.3%,16/08/2014,15:00,7.0,6.8
Stones,90,0,0,0,2,0,0,0,0,0,0,0,8,18,1,EVE,2 - 2,LEI,Away,1,DEF,6,Favourable,139,2.1%,16/08/2014,15:00,5.5,5.2
